tahun,bulan,nama_kabupaten,nama_kecamatan,nama_kelurahan,jenis_kelamin,jumlah
2018,1,KAB.ADM.KEP.SERIBU,KEP. SERIBU UTR,P. PANGGANG,Laki-laki,2
2018,1,KAB.ADM.KEP.SERIBU,KEP. SERIBU UTR,P. KELAPA,Laki-laki,1
2018,1,KAB.ADM.KEP.SERIBU,KEP. SERIBU UTR,P. HARAPAN,Laki-laki,1
2018,1,KAB.ADM.KEP.SERIBU,KEP. SERIBU SLT,P. TIDUNG,Laki-laki,0
2018,1,JAKARTA PUSAT,GAMBIR,CIDENG,Laki-laki,8
2018,1,JAKARTA PUSAT,GAMBIR,PETOJO UTARA,Laki-laki,5
2018,1,JAKARTA PUSAT,GAMBIR,PETOJO SELATAN,Laki-laki,3
2018,1,JAKARTA PUSAT,GAMBIR,DURI PULO,Laki-laki,2
2018,1,JAKARTA PUSAT,SAWAH BESAR,PASAR BARU,Laki-laki,2
2018,1,JAKARTA PUSAT,SAWAH BESAR,KARANG ANYAR,Laki-laki,9
2018,1,JAKARTA PUSAT,SAWAH BESAR,KARTINI,Laki-laki,3
2018,1,JAKARTA PUSAT,SAWAH BESAR,GUNUNG SAHARI UTARA,Laki-laki,3
2018,1,JAKARTA PUSAT,SAWAH BESAR,MANGGA DUA SELATAN,Laki-laki,5
2018,1,JAKARTA PUSAT,KEMAYORAN,KEMAYORAN,Laki-laki,6
2018,1,JAKARTA PUSAT,KEMAYORAN,KEBON KOSONG,Laki-laki,6
2018,1,JAKARTA PUSAT,KEMAYORAN,HARAPAN MULIA,Laki-laki,0
2018,1,JAKARTA PUSAT,KEMAYORAN,SERDANG,Laki-laki,6
2018,1,JAKARTA PUSAT,KEMAYORAN,GUNUNG SAHARI SELATAN,Laki-laki,2
2018,1,JAKARTA PUSAT,KEMAYORAN,CEMPAKA BARU,Laki-laki,3
2018,1,JAKARTA PUSAT,KEMAYORAN,SUMUR BATU,Laki-laki,4
2018,1,JAKARTA PUSAT,KEMAYORAN,UTAN PANJANG,Laki-laki,8
