nama_rumah_sakit,jenis_rumah_sakit,alamat_lokasi_rumah_sakit,kelurahan,kecamatan,kota_administrasi,kode_pos,no_telepon,no_faximile,alamat_website,alamat_email,nama_direktur/kepala_rs,jml_tempat_tidur_per_kelas_vvip,jml_tempat_tidur_per_kelas_vip,jml_tempat_tidur_per_kelas_eksekutif/utama,jml_tempat_tidur_per_kelas_kelas_i,jml_tempat_tidur_per_kelas_kelas_ii,jml_tempat_tidur_per_kelas_kelas_iii,jml_tempat_tidur_per_kelas_perinatal,jml_tempat_tidur_per_kelas_icu,jml_tempat_tidur_per_kelas_picu,jml_tempat_tidur_per_kelas_nicu,jml_tempat_tidur_per_kelas_hcu,jml_tempat_tidur_per_kelas_iccu,jml_tempat_tidur_per_kelas_igd,jml_tempat_tidur_per_kelas_isolasi,jml_tempat_tidur_per_kelas_1_day_care,jml_tempat_tidur_per_kelas_r.operasi,jml_tempat_tidur_per_kelas_k.bersalin,jml_tempat_tidur_per_kelas_hemodialisa,jml_tempat_tidur_per_kelas_r.anak,jml_tempat_tidur_per_kelas_non_kelas,jml_tempat_tidur_per_kelas_lain2
Tarakan,Rumah Sakit Umum Daerah,Jl. Kyai Caringin No. 7,Cideng,Gambir,Jakarta Pusat,10150,"3503150, 3503003, 3508993","3503412, 3863309",www.rstarakanjakarta.com,rsd_tarakan@yahoo.com,"dr.Togi Asman Sinaga, M.Kes",0,10,0,22,90,289,24,8,7,7,0,0,42,0,0,,,14,8,0,26
DR. Mintohardjo,Rumah Sakit Umum TNI - Angkatan Laut,Jl. Bendungan Hilir No. 17,Bendungan Hilir,Tanah Abang,Jakarta Pusat,10210,5703081 - 85,5711997,www.rsaldrmintohardjo.com,rsalmintohardjo@ymail.com,"dr. Wiweka., MARS",6,9,0,53,88,43,0,6,0,0,0,5,10,16,0,0,0,0,0,0,0
Sahid Sahirman,Rumah Sakit Umum,Jl. Jenderal Sudirman Kavling 86,Karet Tengsin,Tanah Abang,Jakarta Pusat,10220,"5704591, 5703231","5705505, 5727213",www.ssmh.co.id,information@ssmh.co.id,"drg. Yusrahma Nurina., MARS",3,12,0,4,8,0,0,2,0,0,2,2,5,0,0,0,0,4,0,0,0
PGI Cikini,Rumah Sakit Umum,Jl. Raden Saleh No. 40,Cikini,Menteng,Jakarta Pusat,10330,38997777,"31924663, 31908391",www.rscikini.com,"tedjowa@yahoo.com, mail@rscikini.com","dr. Marihot Tambunan, SpPD-KGH",42,21,0,50,112,62,0,0,4,0,4,0,8,12,0,7,2,24,34,0,10
Menteng Mitra Afia,Rumah Sakit Umum,Jl. Kali Pasir No. 9,Kebon Sirih,Menteng,Jakarta Pusat,10340,3154050,3146309,www.rsmentengmitraafia.com,"panela_ramadita@yahoo.com, rsmentengmitraafia@gmail.com, rekammedis.mma@gmail.com","dr. Fera Apriyanti., MARS",0,6,0,10,10,60,0,2,0,0,3,0,5,3,0,,,5,,6,
Abdi Waluyo,Rumah Sakit Umum,Jl. HOS Cokroaminoto No. 31-33,Gondangdia,Menteng,Jakarta Pusat,10350,3144989,31930866,,dr.migot@yahoo.co.id,"dr. Sutrisno Tono Subagio, Sp.PD, Sp.JP",3,4,4,22,11,22,1,0,1,4,0,4,0,1,9,,,3,,0,
Bunda Jakarta,Rumah Sakit Umum,Jl. Teuku Cik Ditiro No. 21,Gondangdia,Menteng,Jakarta Pusat,10350,"3909692, 31923939",3101077,www.bunda.co.id,"bundahospital@bunda.co.id, info.rsubj@bunda.co.id",dr. Didid Winnetouw,8,12,0,2,4,10,20,3,0,0,7,2,6,2,0,,,0,,0,
YPK Mandiri,Rumah Sakit Umum,Jl. Gereja Theresia No. 22,Gondangdia,Menteng,Jakarta Pusat,10350,3909725,3909806,www.rsiaypkmandiri.com,marketing@rsiaypkmandiri.com,"Prof. dr. Endy M. Moegni, SpOG (K)",6,16,8,2,4,9,0,0,0,0,0,0,3,0,0,,,0,,0,
Gatot Soebroto,Rumah Sakit Umum Pusat Angkatan Darat,Jl. Dr. Abdul Rachman Saleh 24,Senen,Senen,Jakarta Pusat,10410,3441008,3440693,,rspadgatsu@pdpersi.co.id,"dr. Terawan Agus Putranto, Sp.Rad (K) RI",45,83,0,123,83,232,18,32,4,4,41,4,22,4,0,13,6,0,,0,9
Dr. Cipto Mangunkusumo,Rumah Sakit Umum Pusat Nasional,Jl. Diponegoro No. 71,Kenari,Senen,Jakarta Pusat,10430,3918301,3148991,www.rscm.co.id,"perencanaan.rscm@gmail.com, perbendaharaan.rscm@yahoo.com, dir_rscm@yahoo.com","dr. Czeresna Heriawan Soejono, SpPD-Kger,M",18,19,61,93,55,552,60,29,12,10,23,10,29,16,0,37,3,32,0,0,10
Kramat 128,Rumah Sakit Umum,Jl. Kramat Raya No. 128 RT.001 / RW.08,Kenari,Senen,Jakarta Pusat,10430,"3909513, 3909514",3909125,www.rskramat128.com,"dyah.agustina.w@gmail.com, info@rskramat128.com","dr. Harijadi Sp.A,MARS.",4,5,6,7,27,18,0,3,0,0,0,0,8,2,0,,,3,,0,
PK. St. Carolus ,Rumah Sakit Umum,Jl. Salemba Raya No. 41,Paseban,Senen,Jakarta Pusat,10440,3904441,3103226,www.rscarolus.or.id,"markus_wasesa@yahoo.com, humas@rscarolus.or.id","dr. JB. Endrotomo Sumargono, Sp.OT",11,48,0,22,122,104,0,16,0,0,0,0,0,22,0,,,0,,0,
Moh. Husni Thamrin Salemba,Rumah Sakit Umum,Jl. Salemba Tengah 26 - 28,Paseban,Senen,Jakarta Pusat,10440,"3904422 Ext.1900, 1919","3107816, 2305182",www.thamrinhospital.com,info@thamrinhospital.com,"dr. dr. H. Kemal Muhamad., MMR., M.Kes, AIFO",6,20,6,51,30,33,4,8,5,6,0,5,6,0,0,0,0,0,0,0,9
Islam Jakarta Cempaka Putih,Rumah Sakit Umum,Jl. Cempaka Putih Tengah I / 1,Cempaka Putih Timur,Cempaka Putih,Jakarta Pusat,10510,"42801567, 4250451",4206681,www.rsi.co.id,"rsijpusat@rsi.co.id, rsij@cbn.net.id","dr. Prastowo Sidi Pramono, Sp.A",9,48,64,44,34,71,8,7,2,2,7,4,11,3,13,7,4,22,,0,
Pertamina Jaya,Rumah Sakit Umum,"Jl. Achmad Yani No. 2, By Pass",Cempaka Putih Timur,Cempaka Putih,Jakarta Pusat,10510,4211911,4211913,www.rspj.co.id,pertamedika.rspj@gmail.com,"dr. Duta Liana, MARS",2,14,4,12,10,19,1,4,0,0,0,0,9,2,0,3,1,16,3,0,0
Evasari,Rumah Sakit Umum,Jl. Rawamangun No. 47,Rawasari,Cempaka Putih,Jakarta Pusat,10570,4202851 - 4,4209725,www.evasari-jakarta.awalbros.com,"info@rsia_evasari@yahoo.com, mkt.jkt@awalbros.com",dr. Ferry Aryo Pangarso,8,3,8,10,4,13,5,2,3,4,2,0,6,1,0,2,2,6,10,0,
Hermina Kemayoran,Rumah Sakit Umum,Jl. Selangit Blok B-10 Kav. No.4,Gunung Sahari Selatan,Kemayoran,Jakarta Pusat,10610,22602525,22602888,"www.hweminahospitalgroup.com, mr.kmy16@gmail.com","podomoro@rsiahermina.com, mr.kmy16@gmail.com","dr. Lies Nugrohowati, MARS",5,15,3,17,16,38,8,1,2,3,0,0,9,2,0,5,8,10,20,23,0
Mitra Kemayoran,Rumah Sakit Umum,Jl. Landas Pacu Timur,Kebon Kosong,Kemayoran,Jakarta Pusat,10630,6545555,6545959,www.mitrakemayoran.com,kemayoran@mitrakeluarga.com,"dr. Margaretha Susi Widiastuti, MPH",4,37,0,36,34,31,4,7,0,3,6,0,7,4,4,,,4,,0,
Husada ,Rumah Sakit Umum,Jl. Raya Mangga Besar Raya 137 - 139,Mangga Dua Selatan,Sawah Besar,Jakarta Pusat,10730,"6260208, 6490090",6497494,www.husada.co.id,"husada@husada.co.id, sisca.ramdhanie@gmail.com","dr. Erniody, Sp.An, KIC, M.Kes",3,27,91,53,88,103,11,8,3,3,0,9,15,5,4,8,5,16,56,0,6
Budi Kemuliaan ,Rumah Sakit Khusus Ibu dan Anak,Jl. Budi Kemuliaan No. 25,Gambir,Gambir,Jakarta Pusat,10110,3842828,3501012,www.rsbbudikemiaan.com,rsbbudi@indo.net.id,"dr. Mohammad Baharuddin, SpOG.MARS.",3,15,4,26,12,24,89,0,0,6,3,0,15,2,0,2,17,0,25,0,0
Prof  Nizar ,Rumah Sakit Khusus Telinga Hidung Tenggorokan,Jl. Kesehatan Raya No. 9,Petojo Selatan,Gambir,Jakarta Pusat,10160,"3843598, 3503435",34834982,,rsprofnizar@yahoo.co.id,dr. Arini Rinaldi,0,0,1,1,4,3,0,0,0,0,1,0,3,0,0,1,,0,,0,0
Ladokgi TNI-AL R.E. Martadinata,Rumah Sakit Khusus Gigi & Mulut,Jl. Farmasi No. 1,Bendungan Hilir,Tanah Abang,Jakarta Pusat,10210,5733026,5732701,,pro.jakarta@inhealth.co.id,drg. Iria Rizal,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,0,,5,
Bina Estetika,Rumah Sakit Khusus Bedah,Jl. Teuku Cik Ditiro No. 41,Menteng,Menteng,Jakarta Pusat,10310,3909393,3155258,,"binaes@rad.net.id, rsbe-binaestetika@yahoo.com","drg. Desak Gede Christina Diah Asita Kencana Dewi, MARS",0,3,0,12,0,6,0,0,0,0,2,0,2,0,0,,,0,,0,
Jakarta Eye Center Menteng,Rumah Sakit Khusus Mata,Jl. Teuku Cik Ditiro No. 46,Menteng,Menteng,Jakarta Pusat,10310,"335600, 3107434",3904601,www.jakarta-eye-center.com,jec@jec.co.id,"dr. Johan A. Hutauruk, Sp.M",2,1,0,4,6,5,0,0,0,0,0,0,0,0,0,,,0,,0,
Proklamasi,Rumah Sakit Khusus Telinga Hidung Tenggorokan,Jl. Proklamasi No. 43,Pegangsaan,Menteng,Jakarta Pusat,10320,3900002,3900947,www.rs-proklamasi.co.id,admin@rs-proklamasi.co.id,"dr.Hably Warganegara, Sp THT-KL",1,5,0,8,6,8,0,0,0,0,1,0,1,0,0,4,,0,,0,
