tahun ,antigen,wilayah,jumlah_bayi
2016,HB0,Kepulauan Seribu,466
2016,HB0,Jakarta Selatan,33202
2016,HB0,Jakarta Timur,47333
2016,HB0,Jakarta Pusat,12653
2016,HB0,Jakarta Barat,42185
2016,HB0,Jakarta Utara,28819
2016,BCG,Kepulauan Seribu,485
2016,BCG,Jakarta Selatan,34715
2016,BCG,Jakarta Timur,50275
2016,BCG,Jakarta Pusat,13830
2016,BCG,Jakarta Barat,42779
2016,BCG,Jakarta Utara,30366
2016,POLIO 1,Kepulauan Seribu,485
2016,POLIO 1,Jakarta Selatan,35742
2016,POLIO 1,Jakarta Timur,49889
2016,POLIO 1,Jakarta Pusat,13498
2016,POLIO 1,Jakarta Barat,42286
2016,POLIO 1,Jakarta Utara,30687
2016,DPT-HB-HIB 1,Kepulauan Seribu,524
2016,DPT-HB-HIB 1,Jakarta Selatan,35683
2016,DPT-HB-HIB 1,Jakarta Timur,51318
2016,DPT-HB-HIB 1,Jakarta Pusat,12625
2016,DPT-HB-HIB 1,Jakarta Barat,43271
2016,DPT-HB-HIB 1,Jakarta Utara,31310
2016,POLIO 2,Kepulauan Seribu,524
2016,POLIO 2,Jakarta Selatan,35467
2016,POLIO 2,Jakarta Timur,51223
2016,POLIO 2,Jakarta Pusat,12487
2016,POLIO 2,Jakarta Barat,42883
2016,POLIO 2,Jakarta Utara,31175
2016,DPT-HB-HIB 2,Kepulauan Seribu,462
2016,DPT-HB-HIB 2,Jakarta Selatan,35460
2016,DPT-HB-HIB 2,Jakarta Timur,51937
2016,DPT-HB-HIB 2,Jakarta Pusat,13436
2016,DPT-HB-HIB 2,Jakarta Barat,42611
2016,DPT-HB-HIB 2,Jakarta Utara,31031
2016,POLIO 3,Kepulauan Seribu,462
2016,POLIO 3,Jakarta Selatan,34974
2016,POLIO 3,Jakarta Timur,51394
2016,POLIO 3,Jakarta Pusat,13375
2016,POLIO 3,Jakarta Barat,42335
2016,POLIO 3,Jakarta Utara,30996
2016,DPT-HB-HIB 3,Kepulauan Seribu,477
2016,DPT-HB-HIB 3,Jakarta Selatan,35052
2016,DPT-HB-HIB 3,Jakarta Timur,51147
2016,DPT-HB-HIB 3,Jakarta Pusat,13536
2016,DPT-HB-HIB 3,Jakarta Barat,42409
2016,DPT-HB-HIB 3,Jakarta Utara,30953
2016,POLIO 4,Kepulauan Seribu,477
2016,POLIO 4,Jakarta Selatan,33719
2016,POLIO 4,Jakarta Timur,51332
2016,POLIO 4,Jakarta Pusat,13263
2016,POLIO 4,Jakarta Barat,59521
