,email,faximile,id,jenis_rs,kode_kecamatan,kode_kelurahan,kode_kota,kode_pos,latitude,location.alamat,location.latitude,location.longitude,longitude,nama_rs,telepon,website,properties.kode_kecamatan,properties.kode_kota,properties.kode_provinsi,properties.nama_kecamatan,properties.nama_kota,properties.nama_provinsi
0,"kusmedi@gmail.com, rsd_tarakan@yahoo.com","['3503412', ' 3863309']",2,Rumah Sakit Umum Daerah,3173080,3173080001,3173,10150,-6.171333,Jl. Kyai Caringin No. 7,-6.171333,106.810013,106.810013,Tarakan,"['3503150', '3503003', '3508993']",www.rstarakanjakarta.com,3173080.0,3173.0,31.0,Gambir,Jakarta Pusat,DAERAH KHUSUS IBUKOTA JAKARTA
1,rsalmintohardjo@ymail.com,['5711997'],3,Rumah Sakit Umum TNI - Angkatan Laut,3173010,3173010002,3173,10210,-6.210848,Jl. Bendungan Hilir No. 17,-6.210848,106.811996,106.811996,DR. Mintohardjo,['5703081 - 85'],www.rsaldrmintohardjo.com,3173010.0,3173.0,31.0,Tanah Abang,Jakarta Pusat,DAERAH KHUSUS IBUKOTA JAKARTA
2,information@ssmh.co.id,"['5705505', '5727213']",4,Rumah Sakit Umum,3173010,3173010003,3173,10220,-6.209445,Jl. Jenderal Sudirman Kavling 86,-6.209445,106.819382,106.819382,Sahid Sahirman,"['5704591', '5703231']",www.ssmh.co.id,3173010.0,3173.0,31.0,Tanah Abang,Jakarta Pusat,DAERAH KHUSUS IBUKOTA JAKARTA
3,"tedjowa@yahoo.com, mail@rscikini.com","['31924663', '31908391']",5,Rumah Sakit Umum,3173020,3173020003,3173,10330,-6.19127,Jl. Raden Saleh No. 40 ,-6.19127,106.841408,106.841408,PGI Cikini,['38997777'], www.rscikini.com,3173020.0,3173.0,31.0,Menteng,Jakarta Pusat,DAERAH KHUSUS IBUKOTA JAKARTA
4,"panela_ramadita@yahoo.com, info@rsmentengmitraafia.com",['3146309'],6,Rumah Sakit Umum,3173020,3173020003,3173,10340,-6.187353,Jl. Kali Pasir  No. 9,-6.187353,106.839081,106.839081,Menteng Mitra Afia,['3154050'],www.rsmentengmitraafia.com,3173020.0,3173.0,31.0,Menteng,Jakarta Pusat,DAERAH KHUSUS IBUKOTA JAKARTA
5,dr.migot@yahoo.co.id,['31930866'],7,Rumah Sakit Umum,3173020,3173020004,3173,10350,-6.189762,Jalan  HOS Cokroaminoto  Nomor 31-33,-6.189762,106.8293,106.8293,Abdi Waluyo,['3144989'],,3173020.0,3173.0,31.0,Menteng,Jakarta Pusat,DAERAH KHUSUS IBUKOTA JAKARTA
6,bundahospital@bunda.co.id,['3101077'],8,Rumah Sakit Umum,3173020,3173020004,3173,10350,-6.196026,Jl. Teuku Cik Ditiro No. 21,-6.196026,106.836517,106.836517,Bunda Jakarta,"['3909692', '31923939']",www.bunda.co.id,3173020.0,3173.0,31.0,Menteng,Jakarta Pusat,DAERAH KHUSUS IBUKOTA JAKARTA
7,rspadgatsu@pdpersi.co.id,['3440693'],9,Rumah Sakit Umum Pusat Angkatan Darat,3173030,3173030005,3173,10410,-6.176608,Jl. Dr. Abdul Rachman Saleh 24,-6.176608,106.836861,106.836861,Gatot Soebroto,['3441008'],,3173030.0,3173.0,31.0,Senen,Jakarta Pusat,DAERAH KHUSUS IBUKOTA JAKARTA
8,"perbendaharaan.rscm@yahoo.com, dir_rscm@yahoo.com",['3148991'],10,Rumah Sakit Umum Pusat Nasional,3173030,3173030001,3173,10430,-6.196762,Jl. Diponegoro No. 71,-6.196762,106.846886,106.846886,Dr. Cipto Mangunkusumo,['3918301'],www.rscm.co.id,3173030.0,3173.0,31.0,Senen,Jakarta Pusat,DAERAH KHUSUS IBUKOTA JAKARTA
9,"tanjung_widia@yahoo.com, rsmrm74@yahoo.com",['3916888'],11,Rumah Sakit Tk. II,3173030,3173030001,3173,10430,-6.191414,Jl. Kramat Raya  No. 174,-6.191414,106.847,106.847,Moh Ridwan Meuraksa,"['3150535 ', '323094']",,3173030.0,3173.0,31.0,Senen,Jakarta Pusat,DAERAH KHUSUS IBUKOTA JAKARTA
10,dyah.agustina.w@gmail.com ; info@rskramat128.com,['3909125'],12,Rumah Sakit Umum,3173030,3173030001,3173,10430,-6.18536,Jalan  Kramat Raya  Nomor 128,-6.18536,106.843994,106.843994,Kramat 128,['3909513 ; 3909514'],www.rskramat128.com,3173030.0,3173.0,31.0,Senen,Jakarta Pusat,DAERAH KHUSUS IBUKOTA JAKARTA
11,"markus_wasesa@yahoo.com, humas_pksc.or.id, carolus@pdpersi.co.id",['3103226'],13,Rumah Sakit Umum,3173030,3173030002,3173,10440,-6.195917,Jl. Salemba Raya No. 41,-6.195917,106.851006,106.851006,PK. St. Carolus ,['3904441'],,3173030.0,3173.0,31.0,Senen,Jakarta Pusat,DAERAH KHUSUS IBUKOTA JAKARTA
12,info@thamrinhospital.com,['3107816-2305182'],14,Rumah Sakit Umum,3173030,3173030002,3173,10440,-6.193444,Jl. Salemba Tengah 26 - 28,-6.193444,106.852005,106.852005,Moh. Husni Thamrin Salemba,['3904422 Ext.1900 ;1919'],www.thamrinhospital.com,3173030.0,3173.0,31.0,Senen,Jakarta Pusat,DAERAH KHUSUS IBUKOTA JAKARTA
13,"rsijpusat@rsi.co.id,  rsij@cbn.net.id",['4206681'],15,Rumah Sakit Umum,3173050,3173050002,3173,10510,-6.170203,Jl. Cempaka Putih Tengah I / 1,-6.170203,106.870659,106.870659,Islam Jakarta Cempaka Putih,['42801567-4250451'],www.rsi.co.id,3173050.0,3173.0,31.0,Cempaka Putih,Jakarta Pusat,DAERAH KHUSUS IBUKOTA JAKARTA
14,pertamedika.rspj@gmail.com,['4211913'],16,Rumah Sakit Umum,3173050,3173050002,3173,10510,-6.173366,"Jl. Achmad Yani No. 2, By Pass",-6.173366,106.876312,106.876312,Pertamina Jaya,['4211911'],www.rspj.co.id,3173050.0,3173.0,31.0,Cempaka Putih,Jakarta Pusat,DAERAH KHUSUS IBUKOTA JAKARTA
15,info@rsia_evasari@yahoo.com,['4209725'],17,Rumah Sakit Umum,3173050,3173050001,3173,10570,-6.193554,Jalan  Rawamangun  Nomor 47,-6.193554,106.859947,106.859947,Evasari,['4202851-4'],www.evasari-jakarta.awalbros.com,3173050.0,3173.0,31.0,Cempaka Putih,Jakarta Pusat,DAERAH KHUSUS IBUKOTA JAKARTA
16,kemayoran@mitrakeluarga.com,['6545959'],18,Rumah Sakit Umum,3175030,3175030002,3175,10630,-6.151878,Jl. Landas Pacu Timur,-6.151878,106.858414,106.858414,Mitra Kemayoran,['6545555'],www.mitrakemayoran.com,3175030.0,3175.0,31.0,Tanjung Priok,Jakarta Utara,DAERAH KHUSUS IBUKOTA JAKARTA
17,husada@husada.co.id,['6497494'],19,Rumah Sakit Umum,3173070,3173070005,3173,10730,-6.147598,Jl. Raya Mangga Besar Raya 137 - 139,-6.147598,106.828812,106.828812,Husada ,['6260208 - 6490090'],www.husada.co.id,3173070.0,3173.0,31.0,Sawah Besar,Jakarta Pusat,DAERAH KHUSUS IBUKOTA JAKARTA
18,rsijsukapura@gmail.com,['4400782'],21,Rumah Sakit Umum,3175060,3175060001,3175,14140,-6.139646,Jl. Tipar - Cakung No. 5,-6.139646,106.920921,106.920921,Islam Jakarta Sukapura,"['4400778', '4400779', '4400781']",www.rsijsukapura@.co.id,3175060.0,3175.0,31.0,Cilincing,Jakarta Utara,DAERAH KHUSUS IBUKOTA JAKARTA
19,rsu.pekerja@gmail.com,['29482875'],22,Rumah Sakit Umum,3175060,3175060001,3175,14140,-6.144747,"Jalan  Raya Cakung Cilincing, RT.002/RW.003 ",-6.144747,106.923759,106.923759,Pekerja,['29484848  (10 lines)'],www.kbn.co.id,3175060.0,3175.0,31.0,Cilincing,Jakarta Utara,DAERAH KHUSUS IBUKOTA JAKARTA
20,rsudkoja@ymail.com,['4352401 - 4372273'],23,Rumah Sakit Umum Daerah,3175040,3175040006,3175,14220,-6.108805,Jl. Deli No. 4  Tanjung Priok,-6.108805,106.900162,106.900162,Koja,['43938478'],www.rsudkoja.com,3175040.0,3175.0,31.0,Koja,Jakarta Utara,DAERAH KHUSUS IBUKOTA JAKARTA
21,kelapagading@mitrakeluarga.com,['45852727'],24,Rumah Sakit Umum,3175050,3175050001,3175,14240,-6.151771,Jl. Bukit Gading Raya Kav. II,-6.151771,106.897102,106.897102,Mitra Keluarga Kelapa Gading,['45852700'],www.mitrakeluarga.com,3175050.0,3175.0,31.0,Kelapa Gading,Jakarta Utara,DAERAH KHUSUS IBUKOTA JAKARTA
22,gadingpluit@gadingpluit-hospital.com,['4520578'],25,Rumah Sakit Umum,3175050,3175050003,3175,14250,-6.166122,Jl. Boulevard Timur Raya RT. 006 / 02,-6.166122,106.915993,106.915993,Gading Pluit,"['4521001', '4520201']",,3175050.0,3175.0,31.0,Kelapa Gading,Jakarta Utara,DAERAH KHUSUS IBUKOTA JAKARTA
23,marketing.rspj@gmail.com,"['4403551', '4406886']",26,Rumah Sakit Umum,3175040,3175040003,3175,14260,-6.124692,"Jl. Kramat Jaya, Tanjung Priok",-6.124692,106.917519,106.917519,Pelabuhan Jakarta,['4403026'],www.rspelabuhan.com,3175040.0,3175.0,31.0,Koja,Jakarta Utara,DAERAH KHUSUS IBUKOTA JAKARTA
24,info@rsmulyasari.com,['43935676'],27,Rumah Sakit Umum,3175040,3175040003,3175,14260,-6.129088,Jl. Raya Plumpang Semper No. 19,-6.129088,106.906509,106.906509,Mulyasari,"['4390666', '4393111', '4393888']",www.rsmulyasari.com,3175040.0,3175.0,31.0,Koja,Jakarta Utara,DAERAH KHUSUS IBUKOTA JAKARTA
25,tienastari_jpkm@yahoo.com,['43902302'],28,Rumah Sakit Umum,3175030,3175030007,3175,14310,-6.110295,Jl. Enggano No. 10,-6.110295,106.889389,106.889389,Port Medical Center,['43902350'],,3175030.0,3175.0,31.0,Tanjung Priok,Jakarta Utara,DAERAH KHUSUS IBUKOTA JAKARTA
26,"sriha36@gmail.com, sukmul@indosat.net.id",['4301272'],29,Rumah Sakit Umum,3175030,3175030007,3175,14310,-6.112143,Jl. Tawes No. 18-20 ,-6.112143,106.881996,106.881996,Sukmul Sisma Medika,['4301269'],,3175030.0,3175.0,31.0,Tanjung Priok,Jakarta Utara,DAERAH KHUSUS IBUKOTA JAKARTA
27,purmed-medcen@centrin.net.id,['43903388'],30,Rumah Sakit Umum,3175030,3175030006,3175,14330,-6.129145,Jl Sungai Bambu  No. 5,-6.129145,106.890198,106.890198,Puri Medika,['43903355-43901273'],www.purimdika.com,3175030.0,3175.0,31.0,Tanjung Priok,Jakarta Utara,DAERAH KHUSUS IBUKOTA JAKARTA
28,"chitra_usmanuddin@yahoo.com, rssn@cbn.net.id",['687813-64717813'],31,Rumah Sakit Umum,3175030,3175030001,3175,14350,-6.138887,Jl. Agung Utara Raya Blok A No. 1,-6.138887,106.861549,106.861549,Satya Negara,"['65836583', '64715200', '64715900']",www.rssatyanegara.com,3175030.0,3175.0,31.0,Tanjung Priok,Jakarta Utara,DAERAH KHUSUS IBUKOTA JAKARTA
29,"setdir.rssn@gmail.com, ask.us@royalprogress.com",['6400778'],32,Rumah Sakit Umum,3175030,3175030001,3175,14350,-6.139086,Jl. Danau Sunter Utara Blok F 25 No. 12,-6.139086,106.865395,106.865395,Royal Progress,['6459877-6400261'],www.royalprogress.com,3175030.0,3175.0,31.0,Tanjung Priok,Jakarta Utara,DAERAH KHUSUS IBUKOTA JAKARTA
30,podomoro@rsiahermina.com,['6518720'],33,Rumah Sakit Umum,3175030,3175030001,3175,14350,-6.145772,Jalan  Danau Agung 2 Blok E 3  Nomor 28-30,-6.145772,106.859978,106.859978,Hermina Podomoro,['6404910'],www.hermina.com,3175030.0,3175.0,31.0,Tanjung Priok,Jakarta Utara,DAERAH KHUSUS IBUKOTA JAKARTA
31,rsatmajaya@pdpersi.co.id,['6606122'],34,Rumah Sakit Umum,3175010,3175010004,3175,14440,-6.126524,Jl. Pluit Raya No. 2,-6.126524,106.792809,106.792809,Atma Jaya,['6606121 ; 6606127'],,3175010.0,3175.0,31.0,Penjaringan,Jakarta Utara,DAERAH KHUSUS IBUKOTA JAKARTA
32,pluithospital@pluit-hospital.com,['6684878'],35,Rumah Sakit Umum,3175010,3175010004,3175,14440,-6.125572,Jl. Raya Pluit Selatan No. 2,-6.125572,106.799835,106.799835,Pluit,['6685006 - 6685070'],www.pluit-hospital.com,3175010.0,3175.0,31.0,Penjaringan,Jakarta Utara,DAERAH KHUSUS IBUKOTA JAKARTA
33,,['666676190'],36,Rumah Sakit Umum,3175010,3175010003,3175,14450,-6.138351,Jalan  Teluk Gong Raya  Nomor 12,-6.138351,106.783676,106.783676,Duta Indah,['66676188'],,3175010.0,3175.0,31.0,Penjaringan,Jakarta Utara,DAERAH KHUSUS IBUKOTA JAKARTA
34,pr@pikhospital.co.id,['5880910'],37,Rumah Sakit Umum,3175010,3175010002,3175,14460,-6.111786,Jl. Pantai Indah Utara 3 Sek. Utr. Tmr Blok T,-6.111786,106.752617,106.752617,Pantai Indah Kapuk,['5880911'],www.pikhospital.co.id,3175010.0,3175.0,31.0,Penjaringan,Jakarta Utara,DAERAH KHUSUS IBUKOTA JAKARTA
35,"info@rspelni.co.id, danty@rspelni.net",['5483145'],39,Rumah Sakit Umum,3174030,3174030002,3174,11410,-6.193323,Jl. Aip II K. S. Tubun No. 92-94,-6.193323,106.804817,106.804817,Pelni Petamburan,['5480608'],,3174030.0,3174.0,31.0,Palmerah,Jakarta Barat,DAERAH KHUSUS IBUKOTA JAKARTA
36,rs.bhaktimulia@yahoo.co.id,['5331544'],40,Rumah Sakit Umum,3174030,3174030002,3174,11410,-6.199652,Jl. Aipda K. S. Tubun No. 79,-6.199652,106.800537,106.800537,Bhakti Mulia,"['5481625', '5481262']",,3174030.0,3174.0,31.0,Palmerah,Jakarta Barat,DAERAH KHUSUS IBUKOTA JAKARTA
37,"bambang.heri@gmail.com, sekretariat@rssumberwaras.com",['5673122'],41,Rumah Sakit Umum,3174040,3174040003,3174,11440,-6.167247,Jl. Kyai Tapa No. 1,-6.167247,106.79837,106.79837,Sumber Waras ,['5682011-5663726'],www.rssumberwaras.com,3174040.0,3174.0,31.0,Grogol Petamburan,Jakarta Barat,DAERAH KHUSUS IBUKOTA JAKARTA
